REF_DATE,GEO,Sex,Age group,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight",Breast milk feeding initiation,"Cannabis frequency of use in the past months, daily or almost daily","Cannabis use, past 12 months",Chronic obstructive pulmonary disease (COPD; 35 years and over),"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months","Fruit and vegetable consumption, 5 times or more per day",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Sense of belonging to local community, somewhat strong or very strong"
2018,Alberta,Females,3,126200.0,33200.0,112400.0,116600.0,,,,11100.0,49100.0,59200.0,43100.0,,,372500.0,42200.0,94700.0,170900.0,354800.0,60200.0,54400.0,212500.0,87700.0,27200.0,269200.0,196100.0,266200.0
2018,Alberta,Females,4,151700.0,29200.0,73300.0,88400.0,,,,22000.0,15600.0,18600.0,31800.0,,,267200.0,7900.0,127500.0,164200.0,242900.0,22500.0,48900.0,145500.0,33800.0,12500.0,191100.0,96300.0,195100.0
2018,Alberta,Males,1,6600.0,74100.0,106300.0,197500.0,,,,,79200.0,130400.0,,,,317700.0,169900.0,,111200.0,510300.0,43100.0,31500.0,379900.0,96400.0,51100.0,366500.0,372100.0,322200.0
2018,Alberta,Males,2,48100.0,42700.0,176100.0,196200.0,,,,,81200.0,111400.0,17500.0,,,396400.0,137200.0,60800.0,148500.0,435100.0,33700.0,38100.0,290600.0,125200.0,32300.0,333400.0,300300.0,306300.0
2018,Alberta,Males,3,99800.0,29300.0,140800.0,167000.0,,,,21700.0,76500.0,94000.0,53500.0,,,360500.0,98200.0,113000.0,155100.0,367300.0,23500.0,60000.0,242600.0,89300.0,24200.0,286500.0,248000.0,300800.0
2018,Alberta,Males,4,118800.0,14200.0,77800.0,86900.0,,,,27000.0,18400.0,24100.0,58300.0,,,231000.0,29800.0,106300.0,129100.0,198900.0,14000.0,54400.0,113200.0,26000.0,8500.0,158400.0,108800.0,163300.0
2018,British Columbia,Females,1,11200.0,52300.0,85900.0,88400.0,86800.0,,,,29900.0,66200.0,,36100.0,,380000.0,144000.0,,120000.0,486900.0,64800.0,39300.0,347600.0,138500.0,70700.0,297000.0,364900.0,324000.0
2018,British Columbia,Females,2,39200.0,34600.0,121800.0,121300.0,72600.0,,,4600.0,34200.0,50800.0,15900.0,39300.0,,401700.0,82700.0,19700.0,134400.0,433900.0,57000.0,41900.0,289200.0,119500.0,43100.0,283800.0,317300.0,335100.0
2018,British Columbia,Females,3,153800.0,58300.0,108100.0,153300.0,,,,18200.0,45100.0,63800.0,34500.0,,,455700.0,77500.0,92900.0,203500.0,435500.0,63500.0,79000.0,278600.0,119600.0,55300.0,319800.0,304500.0,360600.0
2018,British Columbia,Females,4,212100.0,33100.0,83000.0,139200.0,,,,29000.0,24400.0,33400.0,50300.0,,,427000.0,18700.0,178900.0,265000.0,372700.0,39100.0,94100.0,219100.0,53600.0,24500.0,288100.0,218900.0,321500.0
2018,British Columbia,Males,1,,29000.0,90700.0,184800.0,,,,,45900.0,104700.0,,,,356900.0,200500.0,9200.0,75300.0,505700.0,33900.0,25400.0,377700.0,112000.0,39000.0,362800.0,409000.0,299200.0
2018,British Columbia,Males,2,41300.0,31100.0,128500.0,189500.0,,,,,61100.0,79700.0,17500.0,,,349000.0,133600.0,53500.0,113100.0,410400.0,43900.0,38700.0,303200.0,127400.0,30900.0,288100.0,327000.0,267600.0
2018,British Columbia,Males,3,111000.0,30100.0,124700.0,228100.0,,,,11200.0,42300.0,63600.0,41000.0,,,407600.0,119300.0,125400.0,152100.0,430500.0,23700.0,60900.0,289500.0,99100.0,35900.0,322000.0,314900.0,353800.0
2018,British Columbia,Males,4,153100.0,22300.0,87300.0,161900.0,,,,30000.0,20600.0,32400.0,73100.0,,,387600.0,44400.0,165100.0,218300.0,331100.0,29800.0,83700.0,200700.0,39500.0,29600.0,253600.0,212200.0,266200.0
2018,Manitoba,Females,1,,16900.0,30900.0,33900.0,35400.0,,,,19100.0,29800.0,,15300.0,,121800.0,21600.0,,28300.0,137500.0,26900.0,10500.0,94400.0,26800.0,14700.0,81200.0,82200.0,100100.0
2018,Manitoba,Females,2,8100.0,11900.0,32200.0,35300.0,13600.0,,,,9400.0,23000.0,,,,110200.0,19200.0,13200.0,30600.0,110200.0,17200.0,10800.0,75800.0,35800.0,13800.0,75500.0,59800.0,86400.0
2018,Manitoba,Females,3,38900.0,13400.0,43200.0,34100.0,,,,2400.0,19100.0,23100.0,10800.0,,,115000.0,18900.0,37300.0,45300.0,107000.0,22800.0,18300.0,67200.0,33400.0,10200.0,81200.0,61800.0,82000.0
